00:00:14:476:0.268768 out_port1 [0.5, 0.2]
00:03:11:119:0.694305 out_port1 [0.5, 0.2]
00:03:35:134:0.963181 out_port1 [0.5, 0.2]
00:04:08:493:0.0798798 out_port1 [0.5, 0.2]
00:05:07:625:0.393204 out_port1 [0.5, 0.2]
00:06:53:834:0.896927 out_port1 [0.5, 0.2]
00:08:05:017:0.995316 out_port1 [0.5, 0.2]
00:09:41:194:0.288284 out_port1 [0.5, 0.2]
00:09:44:142:0.616613 out_port1 [0.5, 0.2]
00:11:20:108:0.742651 out_port1 [0.5, 0.2]
00:12:38:938:0.0583858 out_port1 [0.5, 0.2]
00:12:44:378:0.693186 out_port1 [0.5, 0.2]
00:12:59:643:0.300211 out_port1 [0.5, 0.2]
00:13:12:545:0.102823 out_port1 [0.5, 0.2]
00:14:04:586:0.538614 out_port1 [0.5, 0.2]
00:18:37:683:0.180704 out_port1 [0.5, 0.2]
00:19:44:076:0.568094 out_port1 [0.5, 0.2]
00:19:59:939:0.937632 out_port1 [0.5, 0.2]
00:20:22:830:0.216043 out_port1 [0.5, 0.2]
00:21:30:488:0.39683 out_port1 [0.5, 0.2]
00:22:06:938:0.649912 out_port1 [0.5, 0.2]
00:22:48:908:0.598276 out_port1 [0.5, 0.2]
00:23:27:966:0.0863132 out_port1 [0.5, 0.2]
00:24:24:159:0.263132 out_port1 [0.5, 0.2]
00:24:36:469:0.714235 out_port1 [0.5, 0.2]
00:25:34:281:0.974459 out_port1 [0.5, 0.2]
00:26:53:527:0.504183 out_port1 [0.5, 0.2]
00:26:55:937:0.871744 out_port1 [0.5, 0.2]
00:27:06:569:0.0168171 out_port1 [0.5, 0.2]
00:27:22:639:0.0513935 out_port1 [0.5, 0.2]
00:29:36:717:0.00146675 out_port1 [0.5, 0.2]
00:32:08:130:0.751711 out_port1 [0.5, 0.2]
00:32:41:424:0.819643 out_port1 [0.5, 0.2]
00:33:58:756:0.462343 out_port1 [0.5, 0.2]
00:37:33:395:0.00506783 out_port1 [0.5, 0.2]
00:38:28:832:0.616243 out_port1 [0.5, 0.2]
00:41:39:657:0.255159 out_port1 [0.5, 0.2]
00:42:28:216:0.597139 out_port1 [0.5, 0.2]
00:44:18:667:0.525423 out_port1 [0.5, 0.2]
00:44:36:042:0.747225 out_port1 [0.5, 0.2]
00:47:41:579:0.986849 out_port1 [0.5, 0.2]
00:48:07:854:0.176394 out_port1 [0.5, 0.2]
00:49:43:336:0.728518 out_port1 [0.5, 0.2]
00:51:35:383:0.672731 out_port1 [0.5, 0.2]
00:51:37:431:0.280941 out_port1 [0.5, 0.2]
00:51:38:139:0.211102 out_port1 [0.5, 0.2]
00:51:50:533:0.353802 out_port1 [0.5, 0.2]
00:54:47:860:0.0679131 out_port1 [0.5, 0.2]
00:55:22:082:0.579754 out_port1 [0.5, 0.2]
00:55:37:532:0.130932 out_port1 [0.5, 0.2]
00:57:02:370:0.708752 out_port1 [0.5, 0.2]
